,target,doc
0,1,Unable to install atom on my Win 7 64 bit
1,1,### Prerequisites
2,1,- [ ] Can you reproduce the problem in [safe mode](http://flight-manual.atom.io/hacking-atom/sections/debugging/#check-if-the-problem-shows-up-in-safe-mode)?
3,1,- [ ] Are you running the [latest version of Atom](http://flight-manual.atom.io/hacking-atom/sections/debugging/#update-to-the-latest-version)?
4,1,- [ ] Did you check the [debugging guide](flight-manual.atom.io/hacking-atom/sections/debugging/)?
5,1,- [ ] Did you check the [FAQs on Discuss](https://discuss.atom.io/c/faq)?
6,1,- [ ] Are you reporting to the [correct repository](https://github.com/atom/atom/blob/master/CONTRIBUTING.md#atom-and-packages)?
7,1,- [ ] Did you [perform a cursory search](https://github.com/issues?q=is%3Aissue+user%3Aatom+-repo%3Aatom%2Felectron) to see if your bug or enhancement is already reported?
8,0,
9,1,"For more information on how to write a good [bug report](https://github.com/atom/atom/blob/master/CONTRIBUTING.md#how-do-i-submit-a-good-bug-report) or [enhancement request](https://github.com/atom/atom/blob/master/CONTRIBUTING.md#how-do-i-submit-a-good-enhancement-suggestion), see the `CONTRIBUTING` guide."
10,1,### Description
11,0,
12,1,I was trying to install Atom on my Windows 7 64 bit and I have Admin rights to install the applications.
13,1,### Steps to Reproduce
14,1,1. Downloaded Atom stable version
15,1,"2. Tried using ""Run as Administrator"""
16,1,3. Installation was aborted and provided me the log
17,0,
18,1,**Expected behavior:** [What you expected to happen]
19,0,
20,1,**Actual behavior:** [What actually happened]
21,1,Log file:
22,0,
23,0,```
24,0,2016-03-30 14:23:20> Program: Starting Squirrel Updater: --install .
25,0,"2016-03-30 14:23:21> Program: Starting install, writing to C:\Users\kumara18\AppData\Local\SquirrelTemp"
26,0,2016-03-30 14:23:22> Program: About to install to: C:\Users\kumara18\AppData\Local\atom
27,0,"2016-03-30 14:23:24> CheckForUpdateImpl: Failed to load local releases, starting from scratch: System.IO.DirectoryNotFoundException: Could not find a part of the path 'C:\Users\kumara18\AppData\Local\atom\packages\RELEASES'."
28,0,"   at System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)"
