,target,doc
0,1,中文用户请注意：
1,1,"When built with parcel, node module should have access to **process.version.match**"
2,1,"I'm not sure why a SHA1 hash would be different between OS's, and fwiw this problem just started happening after I updated from 0.12.0 to 0.13.0."
3,1,Please forgive the pseudo code
4,1,"I'm currently working on an automated test system (https://github.com/jasnell/citgm) that will eventually be integrated with the Node.js CI to perform a kind of smoke-test on Node builds. The test system will check a selection of the most popular modules on npm. The current design automates the steps of performing an `npm install` followed by an `npm test`. Unfortunately, lodash doesn't currently support `npm test`, which forces us to include lodash in our group of ""special cases""."
5,1,## 💻 Code Sample
6,1,[`worker_threads`]: worker_threads.md
7,1,"As I mentioned above, this is true whether the target process is node.js itself or another thing (mine was a native program compiled from C++ source.)"
8,1,"It looks like a bug to me, since as stated in the [docs](https://select2.org/configuration/data-attributes) :"
9,1,### Versions
10,1,#### Describe the bug
11,1,Wonder if this is an issue with Express or `node-mime`.
12,1,Here is a copy of `Cards.js`: https://gist.github.com/cowwoc/5cfcc58edc3b1a8aee40
13,1,1. `yarn install` succeeds.
14,1,I'm not sure how hexo should handle these.
15,1,The problem seems similar to these
16,1,i update this line:  
17,1,## 🌍 Your Environment
18,1,Please provide a general summary of the issue in the title above .
19,1,**Additional context**
20,1,"There is a PR for the original layout, but I figured we need to parse out some separate discussions."
21,1,### Duplicates
22,1,[1.4.0.1] Deferred imports (reify) not working.
23,1,"In both cases, `JSON.stringify` is still run. In case a), both functions from the default config are applied."
24,1,"Hi,"
25,1,Here is the jsx i'm using
26,1,- `_.hasOwn` -- new `hasOwnProperty` functionality
27,1,unless the intention is to schedule additional work.
28,0,"���C�^h����]z��k���ODz�u��""��2z⾟s�\�<�N�L��!���"
29,1,## <bountysource-plugin>
30,1,In C++ the script successfully open a hundred fifos.
31,1,"Currently, this is not possible due to React's reconciliation algorithm. If two components have a different `type`, React will not attempt to reconcile their sub-trees (relevant code [here](https://github.com/facebook/react/blob/master/src/renderers/shared/reconciler/shouldUpdateReactComponent.js#L39)). This causes the existing `input` node to be thrown away, along with anything the user may have typed. There is no way for me to tell React that I want my two components to be reconciled because I have the foreknowledge that they will generate an identical DOM structure."
32,1,"jss-rtl not working: Type '(Plugin | { onProcessStyle(style: any, rule: any, sheet: any): any; })[]' is not assignable to type 'readonly Plugin[]'"
33,1,None
34,1,<!-- *Before creating an issue please make sure you are using the latest version of yarn.* -->
35,1,debian jessie
36,1,combinations.length may become 0 after filter
37,1,[#5149]: https://github.com/prettier/prettier/pull/5149
38,1,Sequential coupling in route/middleware initialization
39,1,### no-ec
40,1,INFO  =========================================
41,1,**Expected/desired behavior:**
42,1,5. navigate to `http://localhost:4200/`
43,1,When adding `--list-different` command line flag all of the sudden Prettier fails to find files in Windows to check. 
44,1,Make Modal.enforceFocus easier to override/exempt
45,1,the `NODE_INSPECT_RESUME_ON_START` environment variable to `1`.
46,1,**What is the current behavior?**
47,1,Command: `../../../node_modules/.bin/parcel build --out-dir=../assets --no-source-maps --no-minify src/index.html`
48,1,  code examples may be immediately closed as not actionable.
49,1,"This is working fine when I don't use browserify: http://jsbin.com/pimisesibu/1/edit?html,js,output"
50,1,"I decided to make a separate issue for this as it relates specifically to configuring `""nohoist"": [""**""]`:"
51,1,I've got a webpack-dev-server setup to watch my files and inside my main `app.coffee` I have something like this:
52,1,Current use case is located in my watch mode script: https://github.com/apiel/radka/blob/master/src/dev.ts#L108
53,1,##### Description of the problem
54,1,[`'checkContinue'`]: #event-checkcontinue
55,1,"Finally, we see the contents of dist/index.js reflect the babel presets."
56,1,**Environment:**
57,1,CSSTransitionGroup does not work appropriately if the className is modified
58,1,* Set `displayName` manually for all components (usually not feasible)
59,1,Uncaught Error: GitTabController instance is not associated with a valid virtualNode. Perhaps thi...
60,1,### What version of Bootstrap are you using?
61,1,<!-- YAML
62,1,<!-- Please don't delete this template because we'll close your issue -->
63,1,"yes, with guidance"
64,1,### Screenshots / Codepen
65,1,override keyword gets removed for members in constructor
66,1,**What is the expected behavior?**
67,1,2. install dependencies
68,1,<!-- https://gitter.im/webpack/webpack -->
69,1,- &#8203;<!-- 64 -->[List] Migrate ListItem to emotion (#24543) @xs9627
70,1,"when click `click me`, the `click me` should be `new`, but not"
71,1,but in the second case the rebuild is wrong because nobody delete the folder ` /var/www/hs-goldenrod/wls/PROJECTNAME/src/common/js/modules` and in the fs the folder is present and not touched 
72,1,cc: @mnajdova I think you are leading custom variants. So cc'ing you in. Thank you!
73,1,This issue tracker is for bugs and issues found within Node.js core.
74,1,**What is the current behavior?** 
75,0,"[ { type: 'A', address: '127.0.0.1', ttl: 299 },"
76,1,Although this can happen to any 3rd party package that has error occurring.
77,1,When visiting the HTML file in the browser(I already put it on the server):
78,1,## Table of Contents
79,1,"I'm invoking a method defined on the server, and I get the below error. I'm opening an issue for this, because as a developer, this tells me nothing about what's happening. What kind of exception? It turns out the actual issue is that I was doing this in the `Meteor.call` callback:"
80,1,with
81,1,Links to the files are all correct. 
82,1,<!-- https://gist.github.com is a good place for longer code snippets -->
83,1,"A TLS/SSL handshake timed out. In this case, the server must also abort the"
84,1,- Database: mongodb-atlas
85,1,<!-- Repos with too many files or long configs are not suitable -->
86,1,Filters in :bind
87,1,BEFORE SUBMITTING AN ISSUE:
88,1,Repro https://github.com/alan-agius4/webpack-loader-cache
89,1,"I added a new option `escape`. If the `options.escape` is true, the content within the tag will be escaped. This option is enabled by default."
90,1,## Your Environment 🌎
91,1,## Context 🔦
92,1,<!-- Enter your issue details below this comment. -->
93,1,"In this case, I am trying to format the value from the input with a thousand separator."
94,1,The memory peak value and valley value both getting higher and higher.
95,1,Decal geometry not working obj file loading
96,1,If you require more general support please file an issue on our help
97,1,"<!-- If your issue is caused by a plugin or loader, please create an issue on the loader/plugin repository instead -->"
98,1,"When I try to make named import for commonjs package, error throws:"
99,1,doc: replace util.inherits() with es6 classes extends
100,1,"If you comment out `setTimeout`, there's no problem."
101,1,<!-- prettier-ignore -->
102,1,Version: output of `node -v`
103,1,"**Which versions of React, and which browser / OS are affected by this issue? Did this work in previous versions of React?**"
104,1,<!-- generated by vue-issues. DO NOT REMOVE -->
105,1,Love vuejs? Please consider supporting us via Patreon or OpenCollective:
106,1,External code should not have to validate the indices.
107,1,"That's not the case though. Webpack still treats those things as separate entities and creates 2 webpackContextResolve each with a separate list of modules to load, AND, messes up those modules path as well. Library and application paths are relative to the folder they were in ( they start with a `./`) making impossible to make them coexists in the same environment."
108,1,- [x] iOS
109,1,## 😯 Current Behavior
110,1,- **Operating system**:Linux
111,1,### Problem description
112,1,Code: http://jsfiddle.net/HVBAP/1/
113,1,### `url.format(urlObject)`
114,1,React version:
115,1,- An options page where both html and a script are in `src/options_ui`
116,1,I do not have this issue on v4 only on v5.
117,1,2. The first error always wins https://github.com/nodejs/node/pull/30982. Which would partly resolve Example 3 but not allow other error handling through `_destroy`.
118,1,log: 
119,1,Change color of Sprite ?
120,1,Here's how to make it 'work' as intended:
121,1,"Ok so here is what happens, I have some wrapper component that wraps a children:"
122,1,<!-- Ignoring this template may result in your bug report getting deleted -->
123,1,We were able to mix them up until now because the webpack 4 generated bundles were splitting the bundles in smaller ones and loading them dynamically.
124,1,"Node 9.7.1, Webpack 4.1.1"
125,1,There is also a cbc mode function generator in cbc.pl
126,1,"Leaflet ""window is not defined"" when working with Browserify due to use of ""this"""
127,1,- NPM version: 6.9.0
